 Country                             Region    LifeExp       GDP         HIV
 Turkey                               EuCA     73.979     9148.33115     0.06
 Turkmenistan                         EuCA     64.986         NA          NA 
 Uganda                               SSA      54.116     1277.80560     6.50
 Ukraine                              EuCA     68.494     6379.58112     1.10
 United_Arab_Emirates                 MENA     76.546         NA          NA 
 United_Kingdom                       EuCA     80.170    31330.47724     0.20
 United_States                        Amer     78.531    41728.14089     0.60
 Uruguay                              Amer     77.005    12741.79202     0.50
 Uzbekistan                           EuCA     68.287     2947.20400     0.10
 Vanuatu                              EAP      71.017         NA          NA 
 Venezuela                            Amer     74.402         NA          NA 
 Vietnam                              EAP      75.181     2961.83460     0.40
 Virgin_Islands_(U.S.)                Amer     79.407         NA          NA 
 West_Bank_and_Gaza                   MENA     72.832         NA          NA 
 Western_Sahara                       MENA     67.301         NA          NA 
 Yemen_Rep.                           MENA     65.493         NA          NA 
 Zambia                               SSA      49.025     1476.93483    13.50
 Zimbabwe                             SSA      51.384      511.25841    14.30
